"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"CLEXBUS","1979","04","0.139935","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1979","05","0.165057","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1979","06","0.158705","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1979","07","0.167239","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1979","08","0.165911","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1979","09","0.13664","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1979","10","0.197723","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1979","11","0.163875","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1979","12","0.166711","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1979","13","1.753277","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","01","0.117686","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","02","0.106608","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","03","0.148627","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","04","0.199529","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","05","0.226811","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","06","0.234795","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","07","0.217599","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","08","0.244568","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","09","0.220682","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","10","0.249435","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","11","0.237098","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","12","0.21708","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1980","13","2.420518","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","01","0.151593","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","02","0.177128","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","03","0.254017","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","04","0.216368","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","05","0.159197","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","06","0.161088","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","07","0.281551","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","08","0.29601","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","09","0.311293","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","10","0.323335","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","11","0.30997","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","12","0.30252","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1981","13","2.944069","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","01","0.161968","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","02","0.235078","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","03","0.273329","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","04","0.284029","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","05","0.265107","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","06","0.280057","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","07","0.240769","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","08","0.193654","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","09","0.227689","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","10","0.261492","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","11","0.204724","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","12","0.159004","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1982","13","2.786901","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","01","0.117543","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","02","0.115196","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","03","0.165408","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","04","0.160757","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","05","0.182763","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","06","0.191368","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","07","0.161434","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","08","0.220308","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","09","0.197836","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","10","0.213775","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","11","0.153488","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","12","0.164826","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1983","13","2.044701","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","01","0.133643","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","02","0.112236","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","03","0.153463","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","04","0.202988","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","05","0.21705","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","06","0.206673","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","07","0.219607","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","08","0.217432","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","09","0.229958","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","10","0.175336","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","11","0.110633","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","12","0.172289","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1984","13","2.151306","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","01","0.153025","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","02","0.15864","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","03","0.176163","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","04","0.185852","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","05","0.242828","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","06","0.208155","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","07","0.192404","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","08","0.274171","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","09","0.212963","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","10","0.230017","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","11","0.213972","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","12","0.189939","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1985","13","2.438129","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","01","0.156047","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","02","0.13561","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","03","0.161741","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","04","0.218289","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","05","0.224654","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","06","0.192526","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","07","0.204546","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","08","0.202923","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","09","0.215313","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","10","0.189425","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","11","0.175529","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","12","0.171833","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1986","13","2.248436","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","01","0.143828","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","02","0.122064","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","03","0.1699","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","04","0.163755","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","05","0.172379","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","06","0.19266","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","07","0.1738","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","08","0.203954","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","09","0.175237","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","10","0.174382","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","11","0.189568","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","12","0.211427","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1987","13","2.092954","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1988","01","0.116604","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1988","02","0.117874","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1988","03","0.187908","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","1988","04","0.235185","1","Coal Exports","Quadrillion Btu"
