"MSN","YYYY","MM","Value","Column_Order","Description","Unit"
"COEXPUS","1978","12","250.516","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1978","13","158.159","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","01","176.903","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","02","288.429","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","03","369.613","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","04","259.667","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","05","171.419","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","06","234.6","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","07","244.484","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","08","244.903","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","09","174.7","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","10","178.613","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","11","264.167","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","12","215.258","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1979","13","234.814","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","01","321.774","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","02","331.517","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","03","329.613","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","04","192.333","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","05","325.71","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","06","365.333","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","07","237.645","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","08","77.806","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","09","321.567","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","10","309.226","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","11","288.967","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","12","342.581","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1980","13","286.708","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","01","338.593","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","02","197.947","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","03","210.28","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","04","197.709","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","05","312.234","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","06","123.263","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","07","257.293","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","08","203.873","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","09","193.767","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","10","225.677","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","11","277.919","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","12","188.948","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1981","13","227.852","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1982","01","238.148","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1982","02","304.325","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1982","03","320.962","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1982","04","174.481","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1982","05","261.635","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1982","06","93.979","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1982","07","229.192","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1982","08","303.848","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1982","09","184.144","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1982","10","270.438","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","1982","11","261.959","1","Crude Oil Exports","Thousand Barrels per Day"
