"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"COEXPUS","198307","144.973","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198308","172.018","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198309","177.182","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198310","139.856","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198311","185.575","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198312","94.745","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198313","164.24","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198401","152.856","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198402","184.66","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198403","235.607","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198404","171.581","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198405","218.782","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198406","222.181","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198407","107.762","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198408","189.873","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198409","161.524","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198410","140.99","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198411","202.025","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198412","185.05","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198413","180.964","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198501","144.451","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198502","220.735","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198503","188.971","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198504","235.638","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198505","249.906","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198506","225.546","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198507","153.946","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198508","241.254","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198509","188.153","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198510","123.218","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198511","286.442","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198512","196.943","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198513","204.146","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198601","158.63","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198602","161.545","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198603","212.165","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198604","94.311","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198605","98.356","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198606","240.185","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198607","65.183","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198608","232.969","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198609","160.981","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198610","150.74","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198611","114.701","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198612","158.628","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198613","153.987","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198701","83.715","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198702","283.566","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198703","149.841","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198704","246.973","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198705","68.535","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198706","115.598","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198707","148.916","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198708","141.3","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198709","115.917","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198710","83.622","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198711","163.569","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198712","219.635","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198713","150.586","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198801","206.424","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198802","145.724","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198803","212.839","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198804","114.42","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198805","138.213","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198806","137.59","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198807","185.982","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198808","152.094","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198809","119.097","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198810","166.367","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198811","147.618","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198812","129.212","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198813","154.953","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198901","136.584","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198902","208.483","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198903","156.337","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198904","139.481","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198905","130.68","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198906","243.349","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198907","69.152","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198908","161.52","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198909","32.022","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198910","60.7","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198911","119.694","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198912","246.623","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","198913","141.598","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199001","131.742","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199002","101.536","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199003","132.397","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199004","111.276","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199005","112.05","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199006","87.968","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199007","89.09","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199008","64.183","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199009","68.328","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199010","104.296","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199011","137.455","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199012","161.711","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199013","108.639","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199101","50.498","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199102","152.41","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199103","136.564","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199104","161.915","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199105","164.953","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199106","78.412","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199107","138.779","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199108","54.824","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199109","109.101","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199110","91.566","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199111","125.773","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199112","132.552","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199113","116.124","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199201","117.83","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199202","22.323","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199203","105.244","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199204","23.094","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199205","105.537","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199206","107.088","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199207","53.258","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199208","132.524","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199209","67.588","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199210","106.194","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199211","110.835","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199212","107.387","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199213","88.723","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199301","128.521","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199302","165.938","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199303","138.75","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199304","72.975","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199305","112.217","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199306","149.776","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199307","62.458","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199308","55.23","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199309","106.815","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199310","62.216","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199311","67.19","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199312","62.712","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199313","98.176","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199401","109.71","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199402","115.859","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199403","40.5","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199404","119.5","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199405","117.645","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199406","107.27","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199407","84.083","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199408","72.006","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199409","61.104","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199410","138.235","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199411","101.615","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199412","118.196","1","Crude Oil Exports","Thousand Barrels per Day"
